Private:Deposits,Private:Loans,Private:GovBonds,Private:Currency,Private:NetWorth,Banks:Loans,Banks:Reserves,Banks:Deposits,Banks:BankEquity,Government:TGA,Government:GovBonds,Government:GovEquity,CentralBank:Reserves,CentralBank:Currency,CentralBank:TGA,CentralBank:GovBonds,CentralBank:CBEq
1832.3725077844329,1901.2949999260268,8246.757376218582,0.0,8177.834884076987,1901.2949999260268,231.18000911779512,1832.3725077844329,300.1025012593891,0.0,8246.757376218582,-8246.757376218582,231.18000911779512,0.0,0.0,0.0,-231.18000911779512
1846.5747848737599,1920.307949925287,8344.213025553006,0.0,8270.479860501478,1920.307949925287,231.56530913299144,1846.5747848737599,305.2984741845187,0.0,8344.213025553006,-8344.213025553006,231.56530913299144,0.0,0.0,0.0,-231.56530913299144
1860.91565019399,1939.5110294245399,8441.873894439917,0.0,8363.278515209367,1939.5110294245399,231.9512513148798,1860.91565019399,310.54663054542993,0.0,8441.873894439917,-8441.873894439917,231.9512513148798,0.0,0.0,0.0,-231.9512513148798
1875.396486765315,1958.9061397187852,8539.740496973382,0.0,8456.230844019912,1958.9061397187852,232.33783673373793,1875.396486765315,315.8474896872078,0.0,8539.740496973382,-8539.740496973382,232.33783673373793,0.0,0.0,0.0,-232.33783673373793
1890.0186914357446,1978.495201115973,8637.81334931268,0.0,8549.336839632451,1978.495201115973,232.72506646162745,1890.0186914357446,321.2015761418561,0.0,8637.81334931268,-8637.81334931268,232.72506646162745,0.0,0.0,0.0,-232.72506646162745
1904.7836750193806,1998.2801531271327,8736.09296969681,0.0,8642.596491589058,1998.2801531271327,233.11294157239683,1904.7836750193806,326.60941968014913,0.0,8736.09296969681,-8736.09296969681,233.11294157239683,0.0,0.0,0.0,-233.11294157239683
1919.6928624360776,2018.2629546584042,8834.579878459119,0.0,8736.009786236791,2018.2629546584042,233.5014631416842,1919.6928624360776,332.0715553640107,0.0,8834.579878459119,-8834.579878459119,233.5014631416842,0.0,0.0,0.0,-233.5014631416842
1934.7476928524968,2038.445584204988,8933.27459804207,0.0,8829.576706689579,2038.445584204988,233.89063224692035,1934.7476928524968,337.5885235994117,0.0,8933.27459804207,-8933.27459804207,233.89063224692035,0.0,0.0,0.0,-233.89063224692035
1949.9496198245738,2058.830040047038,9032.177653012148,0.0,8923.297232789684,2058.830040047038,234.2804499673319,1949.9496198245738,343.16087018979624,0.0,9032.177653012148,-9032.177653012148,234.2804499673319,0.0,0.0,0.0,-234.2804499673319
1965.3001114414078,2079.4183404475084,9131.2895700749,0.0,9017.171341068799,2079.4183404475084,234.67091738394407,1965.3001114414078,348.7891463900446,0.0,9131.2895700749,-9131.2895700749,234.67091738394407,0.0,0.0,0.0,-234.67091738394407
1980.8006504705925,2100.2125238519834,9230.610878090107,0.0,9111.199004708715,2100.2125238519834,235.06203557958398,1980.8006504705925,354.473908960975,0.0,9230.610878090107,-9230.610878090107,235.06203557958398,0.0,0.0,0.0,-235.06203557958398
1996.452734504998,2121.2146490905034,9330.14210808711,0.0,9205.380193501604,2121.2146490905034,235.4538056388833,1996.452734504998,360.21572022438863,0.0,9330.14210808711,-9330.14210808711,235.4538056388833,0.0,0.0,0.0,-235.4538056388833
2012.257876111022,2142.4267955814084,9429.88379328026,0.0,9299.714873809873,2142.4267955814084,235.84622864828145,2012.257876111022,366.01514811866787,0.0,9429.88379328026,-9429.88379328026,235.84622864828145,0.0,0.0,0.0,-235.84622864828145
